sku,n_snapshots,categoria,pct_snapshots
ENERGÉTICO TNT JUICE MANGO 473ML,18,ENERGÉTICO,35.3
ESPETO CHURRASCO CORDEIRO 40UN,47,MERCEARIA ALIMENTICIA,92.2
FANDANGOS PRESUNTO 105G,28,SNACK ELMA CHIPS,54.9
FANDANGOS PRESUNTO 37G,50,SNACK ELMA CHIPS,98.0
FANDANGOS PRESUNTO 85G,48,SALGADO ASSADO/FRITO,94.1
FANDANGOS QUEIJO 105G,39,SNACK ELMA CHIPS,76.5
FANDANGOS QUEIJO 37G,51,SNACK ELMA CHIPS,100.0
FANDANGOS QUEIJO 85G,49,SNACK ELMA CHIPS,96.1
FANTA LARANJA 2LTS,1,REFRIGERANTE,2.0
FANTA LARANJA LATA 220ML,30,REFRIGERANTE,58.8
FANTA LARANJA LATA 350ML,3,REFRIGERANTE,5.9
FANTA MARACUJA LATA 350ML,48,REFRIGERANTE,94.1
FANTA UVA LATA 220ML,30,REFRIGERANTE,58.8
FANTA UVA LATA 350ML,2,REFRIGERANTE,3.9
FERRERO ROCHER 3UN,9,CHOCOLATE FERRERO,17.6
FERRERO ROCHER RAFFAELLO 3UN,10,CHOCOLATE FERRERO,19.6
FERRERO ROCHER T8 100G,25,CHOCOLATE FERRERO,49.0
FINI TUBES TWISTER CITRUS 15G,49,BALA FINI,96.1
FRAPPUCCINO STARBUCKS CLASSICO 280ML,33,SUCO,64.7
FUZZY AÇAI COM LEITINHO 1.5 L,14,CONGELADOS,27.5
GAROTO PASTILHA HORTELA 17GR,11,PASTILHAS,21.6
GAROTO TALENTO AMEND/UVA PASSA 25G,41,CHOCOLATE GAROTO,80.4
GAROTO TALENTO AVELAS 25GR,42,CHOCOLATE GAROTO,82.4
GATORADE BERRY BLUE 500ML,27,ISOTÔNICO,52.9
GATORADE FRUTAS CITRICAS 500ML,14,ISOTÔNICO,27.5
GATORADE LARANJA 500ML,1,ISOTÔNICO,2.0
GATORADE LIMAO 500ML,6,ISOTÔNICO,11.8
GATORADE MARACUJÁ 500ML,14,ISOTÔNICO,27.5
GATORADE MORANGO MARACUJA 500ML,8,ISOTÔNICO,15.7
GATORADE TANGERINA 500ML,9,ISOTÔNICO,17.6
GATORADE UVA 500ML,9,ISOTÔNICO,17.6
GIN ETERNITY MAÇA VERDE 900ML,50,DESTILADOS DIVERSOS,98.0
GIN ETERNITY WATERMELON 900ML,50,DESTILADOS DIVERSOS,98.0
GIN ROCK´S SICILIAN LEMON 1L,50,DESTILADOS DIVERSOS,98.0
GITANES AGUA PARA BATERIA 1LT,1,ACESSÓRIOS DIVERSOS,2.0
GOMA DE MASCAR SPEARMINT TRIDENT X SENSES POTE 54G 28 UNIDADES,34,CHICLETE,66.7
GOMETS FRUTAS 32GR,43,BALA,84.3
GUARAVITON AÇAI 500ML,4,SUCO,7.8
GUARAVITON GINSENG 500ML,3,SUCO,5.9
H2O LIMONETO 500ML,1,AGUA SABORIZADA,2.0
H2O LIMONETO ZERO AÇUCAR LATA 350ML,49,AGUA SABORIZADA,96.1
"HEINEKEN 0,0% 268ML",34,CERVEJA FEMSA,66.7
HEINEKEN LATA 269ML,13,CERVEJA FEMSA,25.5
HEINEKEN LATA LAGER 350ML,19,CERVEJA FEMSA,37.3
HEINEKEN LONG NECK SEM ALCOOL 330ML,2,CERVEJA FEMSA,3.9
HEINEKEN PURO MALTE RETORNAVEL 330ML,48,CERVEJA AMBEV,94.1
HIDRATANTE LABIAL CARMED FINI BEIJOS GLITTER 10G,51,HIGIENE PESSOAL,100.0
IOGURTE DANONE MORANGO 170GR,38,IOGURTE,74.5
ISQUEIRO BIC,18,ISQUEIROS,35.3
ISQUEIRO BIC GRANDE,21,ISQUEIROS,41.2
ISQUEIRO BIC MAXI BERCO BLISTER UN,51,ISQUEIROS,100.0
ISQUEIRO CLIPPER MAXI GRAFITE,42,ISQUEIROS,82.4
ISQUEIRO CLIPPER MINI LISO UN,45,ISQUEIROS,88.2
ITAIPAVA GO DRAFT LONG 330ML,49,CERVEJA ITAIPAVA,96.1
ITUBAINA RETRO ORIGINAL LATA 350ML,10,REFRIGERANTE,19.6
