sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct
SALGADINHO CHEEZ IT SNAPD QUEIJO 45G,SNACK DIVERSOS,4.99,2.7922,48,2022-1,2026-12,2026-03-05,2.2,44.1
SALGADINHO KELECK BACON 60G,SNACK DIVERSOS,4.99,2.4,48,2022-1,2026-12,2026-05-07,2.59,51.9
SALGADINHO POINT BACON 60G,SNACK DIVERSOS,3.99,2.0308,28,2022-1,2026-12,2025-12-31,1.96,49.1
SALGADINHO TOP SNACKS COSTELINHA COM LIMAO 51G,SNACK DIVERSOS,4.99,2.4,50,2022-1,2026-12,2026-04-24,2.59,51.9
YOKITOS ANEIS CEBOLA 54GR,SNACK DIVERSOS,5.99,2.6894,31,2022-1,2026-12,2026-04-28,3.3,55.1
YOKITOS CONCHINHAS PRESUNTO 54GR,SNACK DIVERSOS,5.99,2.6314,33,2022-1,2026-12,2026-04-25,3.36,56.1
YOKITOS REDINHA QUEIJO 45GR,SNACK DIVERSOS,5.99,2.8631,47,2022-1,2026-12,2026-03-22,3.13,52.3
BACONZITOS 34G,SNACK ELMA CHIPS,5.99,3.079,30,2022-1,2026-12,2026-02-20,2.91,48.6
BACONZITOS 86G,SNACK ELMA CHIPS,13.99,7.7446,26,2022-1,2024-12,2026-05-09,6.25,44.7
BATATA ELMA CHIPS SENSACOES PEITO PERU 35G,SNACK ELMA CHIPS,9.99,4.618,49,2022-1,2026-12,2026-05-08,5.37,53.8
BATATA RUFFLES CEBOLA E SALSA 32G,SNACK ELMA CHIPS,6.55,3.2923,88,2022-1,2026-12,2026-04-14,3.25,49.6
BATATA RUFFLES CEBOLA E SALSA 68G,SNACK ELMA CHIPS,13.99,7.7011,38,2022-1,2025-12,2026-05-07,6.29,45.0
BATATA RUFFLES CHURRASCO 32G,SNACK ELMA CHIPS,6.99,3.47,50,2022-1,2026-12,2026-05-10,3.52,50.4
BATATA RUFFLES ORIGINAL 32G,SNACK ELMA CHIPS,5.99,2.8844,42,2022-1,2026-12,2026-03-18,3.11,51.9
BATATA RUFFLES SOUR CREAM E CEBOLA 100G,SNACK ELMA CHIPS,15.99,8.99,41,2022-1,2026-12,2026-04-16,7.0,43.8
BATATA RUFFLES TUBO ORIGINAL 100G,SNACK ELMA CHIPS,15.99,8.6282,36,2022-1,2026-12,2026-05-06,7.36,46.0
CEBOLITOS 45G,SNACK ELMA CHIPS,5.99,2.9462,50,2022-1,2026-12,2024-10-07,3.04,50.8
CEBOLITOS 91G,SNACK ELMA CHIPS,13.99,7.5915,76,2022-1,2026-12,2026-05-06,6.4,45.7
CHEETOS ASSADO BOLA QUEIJO SUICO 34G,SNACK ELMA CHIPS,5.99,3.09,49,2022-1,2026-12,2026-05-07,2.9,48.4
CHEETOS ASSADO BOLA QUEIJO SUICO 37G,SNACK ELMA CHIPS,5.99,2.5042,43,2022-1,2026-12,2026-04-22,3.49,58.3
CHEETOS ASSADO LUA QUEIJO 40G,SNACK ELMA CHIPS,5.99,3.0147,41,2022-1,2026-12,2026-02-16,2.98,49.7
CHEETOS ASSADO MIX QUEIJO 41G,SNACK ELMA CHIPS,5.99,3.0633,40,2022-1,2026-12,2026-03-14,2.93,48.9
