sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct,tipo
BAUDUCCO BOLINHO DUPLO CHOCOLATE 40GR,BOLO,3.99,1.98,33,2022-1,2025-12,2026-05-10,2.01,50.4,conveniencia
BAUDUCCO ROLL CHOCOLATE 34GR,BOLO,3.99,1.73,41,2022-1,2026-12,2026-04-30,2.26,56.6,conveniencia
"CAFE NESCAFE CAPPUCCINO CLASSIC CANELA 1,3KG",CAFÉ,7.0,0.1957,51,2022-1,2026-12,2020-06-22,6.8,97.1,conveniencia
"NESCAFÉ ALEGRIA CAPUCCINO 1,3KG",CAFÉ,8.5,0.2054,48,2022-1,2026-12,2023-09-06,8.29,97.5,conveniencia
NESCAFÉ ALEGRIA EXPRESSO 500GR,CAFÉ,6.0,0.3037,41,2022-1,2025-12,2026-05-09,5.7,95.0,conveniencia
NESCAFÉ ALEGRIA. ALPINO,CAFÉ,8.5,6.2985,21,2022-1,2023-11,2026-05-03,2.2,25.9,conveniencia
NESCAFÉ ALEGRIA. CAPPUCCINO ALPINO,CAFÉ,8.5,8.4241,21,2022-1,2023-11,2026-05-02,0.08,0.9,conveniencia
NESCAFÉ ALEGRIA. CAPPUCCINO CLASSIC CANELA,CAFÉ,8.5,5.4791,18,2022-1,2023-11,2026-05-08,3.02,35.5,conveniencia
NESCAFÉ ALEGRIA. MOKACCINO DOIS FRADES,CAFÉ,8.5,7.0391,21,2022-1,2023-11,2026-05-09,1.46,17.2,conveniencia
"NESCAFÉ CAPPUCCINO LATTE 1,3KG",CAFÉ,0.0,0.217,51,2022-1,2026-12,,-0.22,-inf,conveniencia
CARVÃO 4KG,CARVÃO,44.99,21.2,2,2025-2,2026-2,2026-05-10,23.79,52.9,conveniencia
BARRA CEREAL NUTRY AVEIA BANANA E MEL,CEREAIS,3.99,1.4713,5,2022-2,2022-6,2026-05-10,2.52,63.2,conveniencia
BARRA CEREAL NUTRY BANANA ZERO 23G,CEREAIS,6.99,3.2733,47,2022-1,2026-12,2025-11-07,3.72,53.2,conveniencia
BARRA CEREAL NUTRY BOLO CHOCOLATE 22GR,CEREAIS,3.99,1.4063,7,2022-2,2023-7,2026-05-10,2.58,64.7,conveniencia
BARRA CEREAL NUTRY CHOCOLATE AO LEITE 30G,CEREAIS,9.99,4.9203,32,2022-1,2026-12,2026-03-29,5.07,50.8,conveniencia
BARRA CEREAL NUTRY FR.VERM. COOKIES 22GR,CEREAIS,3.99,1.2883,49,2022-1,2026-12,2026-05-09,2.7,67.7,conveniencia
BARRA CEREAL NUTRY MOR. C/ CHOC. LIGHT 22GR,CEREAIS,3.99,1.2883,13,2022-1,2026-11,2026-03-06,2.7,67.7,conveniencia
BARRA CEREAL NUTRY PASTA DE AMENDOIM 30G,CEREAIS,9.99,4.5985,30,2022-1,2025-12,2026-05-10,5.39,54.0,conveniencia
BARRA PROTEICA BOLD COOKIES E CREAM 40G,CEREAIS,13.99,6.9345,44,2022-1,2025-12,2026-05-10,7.06,50.5,conveniencia
BARRA PROTEICA BOLD TUBE PISTACHE 40G,CEREAIS,13.99,6.6231,42,2022-1,2026-12,2026-04-28,7.37,52.7,conveniencia
CHOCO WHEYFER PISTACHE 25G,CEREAIS,9.99,4.24,49,2022-1,2026-12,2026-05-03,5.75,57.6,conveniencia
AMSTEL LATA 269ML,CERVEJA AMBEV,5.99,2.2811,12,2022-1,2023-11,2026-05-10,3.71,61.9,conveniencia
BRAHMA LATA 350ML,CERVEJA AMBEV,7.99,3.0575,1,2026-5,2026-5,2026-04-28,4.93,61.7,conveniencia
BRAHMA ZERO ALCOOL LATA 350ML,CERVEJA AMBEV,5.99,2.6456,9,2023-1,2026-11,2026-05-06,3.34,55.8,conveniencia
BUDWEISER LATA 269ML,CERVEJA AMBEV,6.99,2.9054,35,2022-1,2025-12,2026-05-06,4.08,58.4,conveniencia
HEINEKEN PURO MALTE RETORNAVEL 330ML,CERVEJA AMBEV,12.99,6.0223,48,2022-1,2026-12,2025-12-21,6.97,53.7,conveniencia
SKOL BEATS CAIPIRINHA 269ML,CERVEJA AMBEV,12.99,5.4234,33,2022-1,2026-12,2025-12-16,7.57,58.3,conveniencia
SKOL BEATS MISTA GREEN MIX 269ML,CERVEJA AMBEV,12.99,5.31,47,2022-1,2026-12,2026-05-09,7.68,59.1,conveniencia
SKOL BEATS RED MIX 269ML,CERVEJA AMBEV,10.99,0.0,39,2022-1,2026-12,2026-03-24,10.99,100.0,conveniencia
SKOL BEATS RED MIX SABOR FRUTAS VERMELHAS 269ML,CERVEJA AMBEV,15.99,6.535,45,2022-1,2026-12,2026-02-06,9.45,59.1,conveniencia
SKOL BEATS SENSES LATA 269ML,CERVEJA AMBEV,12.99,4.6412,20,2022-1,2026-10,2026-04-12,8.35,64.3,conveniencia
SKOL BEATS SENSES LONG NECK 269ML,CERVEJA AMBEV,15.99,5.8558,45,2022-1,2026-12,2026-01-09,10.13,63.4,conveniencia
SKOL BEATS TROPICAL LONG NECK 269ML,CERVEJA AMBEV,15.99,6.7,42,2022-1,2026-12,2026-04-24,9.29,58.1,conveniencia
SKOL LATA 473ML,CERVEJA AMBEV,7.99,3.0382,2,2025-2,2025-3,2026-05-09,4.95,62.0,conveniencia
STELLA ARTOIS LONG NECK 330ML,CERVEJA AMBEV,10.99,5.3726,15,2022-1,2024-11,2026-05-10,5.62,51.1,conveniencia
BADEN BADEN CRISTAL PILSEN 350ML,CERVEJA ESPECIAIS,9.99,4.5469,37,2022-1,2026-12,2026-04-25,5.44,54.5,conveniencia
CERVEJA ANTARCTICA ORIGINAL 269ML,CERVEJA ESPECIAIS,6.99,3.1561,9,2022-2,2022-10,2026-05-10,3.83,54.8,conveniencia
CERVEJA BADEN PEACH SLEEK 350ML,CERVEJA ESPECIAIS,9.99,4.6533,45,2022-1,2026-12,2026-03-31,5.34,53.5,conveniencia
CERVEJA CORONA EXTRA 350ML,CERVEJA ESPECIAIS,8.99,4.3644,33,2022-1,2026-12,2026-04-05,4.63,51.5,conveniencia
CERVEJA DUPLO MALTE BRAHMA 269ML,CERVEJA ESPECIAIS,5.99,2.8123,6,2022-2,2026-6,2026-04-30,3.18,53.1,conveniencia
CERVEJA HEINEKEN SLEEKDES LATA ZERO 350ML,CERVEJA ESPECIAIS,9.99,4.7645,38,2022-1,2025-12,2026-05-09,5.23,52.4,conveniencia
CERVEJA IMPERIO PILSEN HELLES 330ML,CERVEJA ESPECIAIS,7.99,3.9067,44,2022-1,2026-12,2026-04-25,4.08,51.1,conveniencia
CERVEJA IMPERIO PILSEN LATA 269ML,CERVEJA ESPECIAIS,4.99,2.3992,5,2022-2,2022-6,2026-05-06,2.59,51.9,conveniencia
CERVEJA IMPERIO PILSEN LATA 473ML,CERVEJA ESPECIAIS,7.99,3.75,40,2022-1,2025-12,2026-05-09,4.24,53.1,conveniencia
CERVEJA IMPERIO PURO MALTE ZERO ALCOOL 330ML,CERVEJA ESPECIAIS,8.99,4.2492,45,2022-1,2026-12,2026-05-06,4.74,52.7,conveniencia
CERVEJA PETRA PURO MALTE 269ML,CERVEJA ESPECIAIS,5.99,2.6009,28,2022-1,2024-12,2026-05-10,3.39,56.6,conveniencia
CERVEJA PETRA PURO MALTE 330ML,CERVEJA ESPECIAIS,8.99,4.0613,32,2022-1,2026-12,2026-04-07,4.93,54.8,conveniencia
CERVEJA PRAYA LAGER PURO MALTE 330ML,CERVEJA ESPECIAIS,10.99,4.6308,49,2022-1,2026-12,2026-05-03,6.36,57.9,conveniencia
CERVEJA SKOL LATA 350ML,CERVEJA ESPECIAIS,5.99,2.8589,46,2022-1,2026-12,2025-03-08,3.13,52.3,conveniencia
CERVEJA SKOL LATA ZERO 350ML,CERVEJA ESPECIAIS,6.99,3.3133,51,2022-1,2026-12,,3.68,52.6,conveniencia
CERVEJA SPATEN 269ML,CERVEJA ESPECIAIS,6.99,3.0355,15,2022-1,2023-11,2026-05-06,3.95,56.5,conveniencia
CERVEJA SPATEN PURO MALTE 330ML,CERVEJA ESPECIAIS,9.99,4.6452,33,2022-1,2024-12,2026-05-10,5.34,53.5,conveniencia
AMSTEL LATA 350ML,CERVEJA FEMSA,5.99,2.8224,40,2022-1,2026-12,2023-12-20,3.17,52.9,conveniencia
AMSTEL LONG NECK 355ML,CERVEJA FEMSA,7.99,3.8346,38,2022-1,2025-12,2026-05-02,4.16,52.1,conveniencia
