categoria,semana_ciclo,pct_desconto,mag_desconto,n_trans
sorvete,12,82.5,31.3,859
sorvete,13,73.65,30.049999999999997,847
sorvete,14,86.7,43.2,1470
sorvete,15,84.69999999999999,34.55,982
sorvete,16,85.0,34.95,1188
sorvete,17,78.7,29.25,949
sorvete,18,79.05,30.6,985
sorvete,19,87.19999999999999,39.8,1308
sorvete,20,85.55000000000001,38.45,1315
sorvete,21,75.80000000000001,34.75,1043
sorvete,22,83.4,34.7,977
sorvete,23,76.9,37.75,892
sorvete,24,81.3,33.45,947
sorvete,25,74.94999999999999,28.55,876
sorvete,26,66.30000000000001,37.7,876
sorvete,27,83.6,41.35,1130
sorvete,28,80.15,31.0,737
sorvete,29,77.65,33.6,846
sorvete,30,71.9,33.3,755
sorvete,31,81.65,43.0,1035
sorvete,32,74.65,33.3,676
sorvete,33,77.0,36.95,774
sorvete,34,69.15,36.45,741
sorvete,35,71.45,33.75,700
sorvete,36,68.65,33.849999999999994,625
sorvete,37,68.85,36.2,726
sorvete,38,72.35,36.2,704
sorvete,39,67.55,31.9,606
sorvete,40,72.5,34.35,684
sorvete,41,71.85,32.75,651
sorvete,42,61.099999999999994,31.45,751
sorvete,43,69.55,36.5,786
sorvete,44,71.6,45.2,1107
sorvete,45,71.94999999999999,35.05,807
sorvete,46,63.55,36.650000000000006,861
sorvete,47,73.3,36.75,851
sorvete,48,70.45,33.4,794
sorvete,49,73.35,36.400000000000006,855
sorvete,50,72.25,32.95,726
sorvete,51,72.9,32.6,409
sorvete,52,67.9,29.1,399
suco,1,70.05,31.4,774
suco,2,60.05,24.450000000000003,680
suco,3,66.3,35.0,875
suco,4,57.2,26.85,729
suco,5,62.95,28.85,828
suco,6,62.5,28.150000000000002,793
suco,7,70.35,30.45,995
suco,8,63.150000000000006,26.95,913
suco,9,69.55000000000001,31.7,974
suco,10,63.75,25.549999999999997,912
suco,11,68.30000000000001,29.950000000000003,1153
suco,12,65.65,31.299999999999997,1160
suco,13,69.1,36.0,1217
suco,14,70.4,37.7,1284
suco,15,57.85,34.099999999999994,1183
suco,16,59.15,34.75,1409
suco,17,49.849999999999994,28.2,1222
suco,18,61.75,36.400000000000006,1300
suco,19,51.65,31.85,1118
suco,20,59.75,35.65,1623
suco,21,54.0,27.7,1285
suco,22,63.55,25.45,1218
suco,23,58.3,29.0,1297
suco,24,50.1,27.2,1202
suco,25,56.45,28.700000000000003,1504
suco,26,50.45,24.65,1139
suco,27,53.7,26.099999999999998,1167
suco,28,48.0,25.0,1114
suco,29,53.2,23.25,1358
suco,30,55.95,24.200000000000003,1220
suco,31,56.3,25.4,1197
suco,32,52.849999999999994,25.45,1195
suco,33,56.65,24.9,1461
suco,34,54.65,28.15,1318
suco,35,60.5,28.799999999999997,1230
suco,36,55.45,27.6,1228
suco,37,57.75,27.55,1416
suco,38,50.0,26.049999999999997,1350
suco,39,60.949999999999996,25.5,1215
suco,40,52.95,25.0,1286
suco,41,51.55,22.7,1324
suco,42,58.95,24.200000000000003,1724
suco,43,52.85,23.950000000000003,1292
suco,44,62.15,25.15,1550
suco,45,51.2,20.8,1231
suco,46,47.150000000000006,16.85,1372
