data,indice,termo,categoria,datas_alvo
2025-11-02,48,cerveja,cerveja,fim_ano;copa;carnaval
2025-11-09,53,cerveja,cerveja,fim_ano;copa;carnaval
2025-11-16,58,cerveja,cerveja,fim_ano;copa;carnaval
2025-11-23,53,cerveja,cerveja,fim_ano;copa;carnaval
2025-11-30,58,cerveja,cerveja,fim_ano;copa;carnaval
2025-12-07,55,cerveja,cerveja,fim_ano;copa;carnaval
2025-12-14,60,cerveja,cerveja,fim_ano;copa;carnaval
2025-12-21,89,cerveja,cerveja,fim_ano;copa;carnaval
2025-12-28,84,cerveja,cerveja,fim_ano;copa;carnaval
2026-01-04,55,cerveja,cerveja,fim_ano;copa;carnaval
2026-01-11,52,cerveja,cerveja,fim_ano;copa;carnaval
2026-01-18,55,cerveja,cerveja,fim_ano;copa;carnaval
2026-01-25,52,cerveja,cerveja,fim_ano;copa;carnaval
2026-02-01,50,cerveja,cerveja,fim_ano;copa;carnaval
2026-02-08,59,cerveja,cerveja,fim_ano;copa;carnaval
2026-02-15,57,cerveja,cerveja,fim_ano;copa;carnaval
2026-02-22,43,cerveja,cerveja,fim_ano;copa;carnaval
2026-03-01,46,cerveja,cerveja,fim_ano;copa;carnaval
2026-03-08,44,cerveja,cerveja,fim_ano;copa;carnaval
2026-03-15,47,cerveja,cerveja,fim_ano;copa;carnaval
2026-03-22,45,cerveja,cerveja,fim_ano;copa;carnaval
2026-03-29,50,cerveja,cerveja,fim_ano;copa;carnaval
2026-04-05,44,cerveja,cerveja,fim_ano;copa;carnaval
2026-04-12,48,cerveja,cerveja,fim_ano;copa;carnaval
2026-04-19,53,cerveja,cerveja,fim_ano;copa;carnaval
2026-04-26,50,cerveja,cerveja,fim_ano;copa;carnaval
2026-05-03,44,cerveja,cerveja,fim_ano;copa;carnaval
2026-05-10,45,cerveja,cerveja,fim_ano;copa;carnaval
